Date,Site,Cover_type,mSAV
01/27/10,25,Halodule,0
01/27/10,25,Hypnea,0
01/27/10,25,Laurencia spp.,0
01/27/10,25,Penicillus,0
01/27/10,25,Polysiphonia,NA
01/27/10,25,Rhizophora mangle,0
01/27/10,25,Ruppia,0
01/27/10,25,Sargassum pteropleuron,0
01/27/10,25,Thalassia,0
01/27/10,25,Udotea,0
01/27/10,26,Acetabularia,0
01/27/10,26,Batophora,0
01/27/10,26,Caulerpa prolifera,0
01/27/10,26,Chara,0
01/27/10,26,Chondria baileyana,0
01/27/10,26,Digenia,0
01/27/10,26,Halimeda incrassata,0
01/27/10,26,Halodule,0
01/27/10,26,Hypnea,0
01/27/10,26,Laurencia spp.,0
01/27/10,26,Penicillus,0
01/27/10,26,Polysiphonia,NA
01/27/10,26,Rhizophora mangle,0
01/27/10,26,Ruppia,0
01/27/10,26,Sargassum pteropleuron,0
01/27/10,26,Thalassia,0
01/27/10,26,Udotea,0
01/27/10,27,Acetabularia,0
01/27/10,27,Batophora,0
01/27/10,27,Caulerpa prolifera,0
01/27/10,27,Chara,0
01/27/10,27,Chondria baileyana,0
01/27/10,27,Digenia,0
01/27/10,27,Halimeda incrassata,0
01/27/10,27,Halodule,0
01/27/10,27,Hypnea,0
01/27/10,27,Laurencia spp.,0
01/27/10,27,Penicillus,0
01/27/10,27,Polysiphonia,NA
01/27/10,27,Rhizophora mangle,0
01/27/10,27,Ruppia,0
01/27/10,27,Sargassum pteropleuron,0
01/27/10,27,Thalassia,0
01/27/10,27,Udotea,0
01/27/10,28,Acetabularia,0
01/27/10,28,Batophora,0
01/27/10,28,Caulerpa prolifera,0
01/27/10,28,Chara,0
01/27/10,28,Chondria baileyana,0
01/27/10,28,Digenia,0
01/27/10,28,Halimeda incrassata,0
01/27/10,28,Halodule,0
01/27/10,28,Hypnea,0
01/27/10,28,Laurencia spp.,0
01/27/10,28,Penicillus,0
01/27/10,28,Polysiphonia,NA
01/27/10,28,Rhizophora mangle,0
01/27/10,28,Ruppia,0
01/27/10,28,Sargassum pteropleuron,0
01/27/10,28,Thalassia,0
01/27/10,28,Udotea,0
01/27/10,29,Acetabularia,0
01/27/10,29,Batophora,0
01/27/10,29,Caulerpa prolifera,0
01/27/10,29,Chara,0
01/27/10,29,Chondria baileyana,0
01/27/10,29,Digenia,0
01/27/10,29,Halimeda incrassata,0
01/27/10,29,Halodule,0
01/27/10,29,Hypnea,0
01/27/10,29,Laurencia spp.,0
01/27/10,29,Penicillus,0
01/27/10,29,Polysiphonia,NA
01/27/10,29,Rhizophora mangle,0
01/27/10,29,Ruppia,0
01/27/10,29,Sargassum pteropleuron,0
01/27/10,29,Thalassia,0
01/27/10,29,Udotea,0
01/27/10,30,Acetabularia,0
01/27/10,30,Batophora,0
01/27/10,30,Caulerpa prolifera,0
01/27/10,30,Chara,0
01/27/10,30,Chondria baileyana,0
01/27/10,30,Digenia,0
01/27/10,30,Halimeda incrassata,0
01/27/10,30,Halodule,0
01/27/10,30,Hypnea,0
01/27/10,30,Laurencia spp.,0
01/27/10,30,Penicillus,0
01/27/10,30,Polysiphonia,NA
01/27/10,30,Rhizophora mangle,0
01/27/10,30,Ruppia,0
01/27/10,30,Sargassum pteropleuron,0
01/27/10,30,Thalassia,0
01/27/10,30,Udotea,0
01/27/10,31,Acetabularia,0
01/27/10,31,Batophora,0
01/27/10,31,Caulerpa prolifera,0
01/27/10,31,Chara,4.066666666666666
01/27/10,31,Chondria baileyana,0
01/27/10,31,Digenia,0
01/27/10,31,Halimeda incrassata,0
01/27/10,31,Halodule,0
01/27/10,31,Hypnea,0
01/27/10,31,Laurencia spp.,0
01/27/10,31,Penicillus,0
01/27/10,31,Polysiphonia,NA
01/27/10,31,Rhizophora mangle,0
01/27/10,31,Ruppia,0
01/27/10,31,Sargassum pteropleuron,0
01/27/10,31,Thalassia,0
01/27/10,31,Udotea,0
01/27/10,32,Acetabularia,0
01/27/10,32,Batophora,0
01/27/10,32,Caulerpa prolifera,0
01/27/10,32,Chara,50.333333333333336
01/27/10,32,Chondria baileyana,0
01/27/10,32,Digenia,0
01/27/10,32,Halimeda incrassata,0
01/27/10,32,Halodule,0
01/27/10,32,Hypnea,0
01/27/10,32,Laurencia spp.,0
01/27/10,32,Penicillus,0
01/27/10,32,Polysiphonia,NA
01/27/10,32,Rhizophora mangle,0
01/27/10,32,Ruppia,0
01/27/10,32,Sargassum pteropleuron,0
01/27/10,32,Thalassia,0
01/27/10,32,Udotea,0
01/27/10,33,Acetabularia,0
01/27/10,33,Batophora,0
01/27/10,33,Caulerpa prolifera,0
01/27/10,33,Chara,100
01/27/10,33,Chondria baileyana,0
01/27/10,33,Digenia,0
01/27/10,33,Halimeda incrassata,0
01/27/10,33,Halodule,0
01/27/10,33,Hypnea,0
01/27/10,33,Laurencia spp.,0
01/27/10,33,Penicillus,0
01/27/10,33,Polysiphonia,NA
01/27/10,33,Rhizophora mangle,0
01/27/10,33,Ruppia,0
01/27/10,33,Sargassum pteropleuron,0
01/27/10,33,Thalassia,0
01/27/10,33,Udotea,0
01/27/10,34,Acetabularia,0
01/27/10,34,Batophora,0
01/27/10,34,Caulerpa prolifera,0
01/27/10,34,Chara,100
01/27/10,34,Chondria baileyana,0
01/27/10,34,Digenia,0
01/27/10,34,Halimeda incrassata,0
01/27/10,34,Halodule,0
01/27/10,34,Hypnea,0
01/27/10,34,Laurencia spp.,0
01/27/10,34,Penicillus,0
01/27/10,34,Polysiphonia,NA
01/27/10,34,Rhizophora mangle,0
01/27/10,34,Ruppia,0
01/27/10,34,Sargassum pteropleuron,0
01/27/10,34,Thalassia,0
01/27/10,34,Udotea,0
01/27/10,35,Acetabularia,0
01/27/10,35,Batophora,0
01/27/10,35,Caulerpa prolifera,0
01/27/10,35,Chara,69.66666666666667
01/27/10,35,Chondria baileyana,0
01/27/10,35,Digenia,0
01/27/10,35,Halimeda incrassata,0
01/27/10,35,Halodule,0
01/27/10,35,Hypnea,0
01/27/10,35,Laurencia spp.,0
01/27/10,35,Penicillus,0
01/27/10,35,Polysiphonia,NA
01/27/10,35,Rhizophora mangle,0
01/27/10,35,Ruppia,0
01/27/10,35,Sargassum pteropleuron,0
01/27/10,35,Thalassia,0
01/27/10,35,Udotea,0
01/29/10,14,Acetabularia,0
01/29/10,14,Batophora,0
01/29/10,14,Caulerpa prolifera,0
01/29/10,14,Chara,0
01/29/10,14,Chondria baileyana,0
01/29/10,14,Digenia,0
01/29/10,14,Halimeda incrassata,0
01/29/10,14,Halodule,9.666666666666666
01/29/10,14,Hypnea,0
01/29/10,14,Laurencia spp.,0
01/29/10,14,Penicillus,0
01/29/10,14,Polysiphonia,NA
01/29/10,14,Rhizophora mangle,0
01/29/10,14,Ruppia,0
01/29/10,14,Sargassum pteropleuron,0
01/29/10,14,Thalassia,0
01/29/10,14,Udotea,0
01/29/10,15,Acetabularia,0
01/29/10,15,Batophora,2.6
01/29/10,15,Caulerpa prolifera,0
01/29/10,15,Chara,0
01/29/10,15,Chondria baileyana,0
01/29/10,15,Digenia,0
01/29/10,15,Halimeda incrassata,0
01/29/10,15,Halodule,7.333333333333333
01/29/10,15,Hypnea,0
01/29/10,15,Laurencia spp.,0
01/29/10,15,Penicillus,0
01/29/10,15,Polysiphonia,NA
01/29/10,15,Rhizophora mangle,0
01/29/10,15,Ruppia,0
01/29/10,15,Sargassum pteropleuron,0
01/29/10,15,Thalassia,0
01/29/10,15,Udotea,0
01/29/10,16,Acetabularia,0
01/29/10,16,Batophora,0.6
01/29/10,16,Caulerpa prolifera,0
01/29/10,16,Chara,0
01/29/10,16,Chondria baileyana,0
01/29/10,16,Digenia,0
01/29/10,16,Halimeda incrassata,0
01/29/10,16,Halodule,6.2
01/29/10,16,Hypnea,0
01/29/10,16,Laurencia spp.,0
01/29/10,16,Penicillus,0
01/29/10,16,Polysiphonia,NA
01/29/10,16,Rhizophora mangle,0
01/29/10,16,Ruppia,0
01/29/10,16,Sargassum pteropleuron,0
01/29/10,16,Thalassia,0
01/29/10,16,Udotea,0
01/29/10,17,Acetabularia,0
01/29/10,17,Batophora,0
01/29/10,17,Caulerpa prolifera,0
01/29/10,17,Chara,0
01/29/10,17,Chondria baileyana,0
01/29/10,17,Digenia,0
01/29/10,17,Halimeda incrassata,0
01/29/10,17,Halodule,0
01/29/10,17,Hypnea,0
01/29/10,17,Laurencia spp.,0
01/29/10,17,Penicillus,0
01/29/10,17,Polysiphonia,NA
01/29/10,17,Rhizophora mangle,0
01/29/10,17,Ruppia,0
01/29/10,17,Sargassum pteropleuron,0
01/29/10,17,Thalassia,0
01/29/10,17,Udotea,0
01/29/10,18,Acetabularia,0
01/29/10,18,Batophora,1.8
01/29/10,18,Caulerpa prolifera,0
01/29/10,18,Chara,0
01/29/10,18,Chondria baileyana,0
01/29/10,18,Digenia,0
01/29/10,18,Halimeda incrassata,0
01/29/10,18,Halodule,6.266666666666667
01/29/10,18,Hypnea,0
01/29/10,18,Laurencia spp.,0
01/29/10,18,Penicillus,0
01/29/10,18,Polysiphonia,NA
01/29/10,18,Rhizophora mangle,0
01/29/10,18,Ruppia,0
01/29/10,18,Sargassum pteropleuron,0
01/29/10,18,Thalassia,0
01/29/10,18,Udotea,0
01/29/10,19,Acetabularia,0.2
01/29/10,19,Batophora,3.6666666666666665
01/29/10,19,Caulerpa prolifera,0
01/29/10,19,Chara,0
01/29/10,19,Chondria baileyana,0
01/29/10,19,Digenia,0
01/29/10,19,Halimeda incrassata,0
01/29/10,19,Halodule,9.533333333333333
01/29/10,19,Hypnea,0
01/29/10,19,Laurencia spp.,0
01/29/10,19,Penicillus,2.2
01/29/10,19,Polysiphonia,NA
01/29/10,19,Rhizophora mangle,0
01/29/10,19,Ruppia,0
01/29/10,19,Sargassum pteropleuron,0
01/29/10,19,Thalassia,0.2
01/29/10,19,Udotea,0
01/29/10,20,Acetabularia,0
01/29/10,20,Batophora,2.6
01/29/10,20,Caulerpa prolifera,0
01/29/10,20,Chara,0
01/29/10,20,Chondria baileyana,0
01/29/10,20,Digenia,0
01/29/10,20,Halimeda incrassata,0
01/29/10,20,Halodule,10.666666666666666
01/29/10,20,Hypnea,0
01/29/10,20,Laurencia spp.,0
01/29/10,20,Penicillus,1.4
01/29/10,20,Polysiphonia,NA
01/29/10,20,Rhizophora mangle,0
01/29/10,20,Ruppia,0
01/29/10,20,Sargassum pteropleuron,0
01/29/10,20,Thalassia,0.2
01/29/10,20,Udotea,0
01/29/10,21,Acetabularia,0
01/29/10,21,Batophora,2.1333333333333333
01/29/10,21,Caulerpa prolifera,0
01/29/10,21,Chara,0
01/29/10,21,Chondria baileyana,0
01/29/10,21,Digenia,0
01/29/10,21,Halimeda incrassata,0.2
01/29/10,21,Halodule,7
01/29/10,21,Hypnea,0
01/29/10,21,Laurencia spp.,0
01/29/10,21,Penicillus,2.933333333333333
01/29/10,21,Polysiphonia,NA
01/29/10,21,Rhizophora mangle,0
01/29/10,21,Ruppia,0
01/29/10,21,Sargassum pteropleuron,1.6666666666666667
01/29/10,21,Thalassia,3.1333333333333333
01/29/10,21,Udotea,0
02/01/08,1,Acetabularia,0
02/01/08,1,Batophora,4.666666666666667
02/01/08,1,Caulerpa prolifera,0
02/01/08,1,Chara,0
02/01/08,1,Chondria baileyana,0
02/01/08,1,Digenia,0
02/01/08,1,Halimeda incrassata,0
02/01/08,1,Halodule,0
02/01/08,1,Hypnea,0
02/01/08,1,Laurencia spp.,0
02/01/08,1,Penicillus,0
02/01/08,1,Polysiphonia,0
02/01/08,1,Rhizophora mangle,0
02/01/08,1,Ruppia,1.6
02/01/08,1,Sargassum pteropleuron,0
02/01/08,1,Thalassia,0
02/01/08,1,Udotea,0
02/01/08,10,Acetabularia,0
02/01/08,10,Batophora,0
02/01/08,10,Caulerpa prolifera,0
02/01/08,10,Chara,0
02/01/08,10,Chondria baileyana,0
02/01/08,10,Digenia,0
02/01/08,10,Halimeda incrassata,0
02/01/08,10,Halodule,29.333333333333332
02/01/08,10,Hypnea,0
02/01/08,10,Laurencia spp.,0
02/01/08,10,Penicillus,0
02/01/08,10,Polysiphonia,0
02/01/08,10,Rhizophora mangle,0
02/01/08,10,Ruppia,0
02/01/08,10,Sargassum pteropleuron,0
02/01/08,10,Thalassia,0
02/01/08,10,Udotea,0
02/01/08,11,Acetabularia,0
02/01/08,11,Batophora,0
02/01/08,11,Caulerpa prolifera,0
02/01/08,11,Chara,100
02/01/08,11,Chondria baileyana,0
02/01/08,11,Digenia,0
02/01/08,11,Halimeda incrassata,0
02/01/08,11,Halodule,0
02/01/08,11,Hypnea,0
02/01/08,11,Laurencia spp.,0
02/01/08,11,Penicillus,0
02/01/08,11,Polysiphonia,0
02/01/08,11,Rhizophora mangle,0
02/01/08,11,Ruppia,0
02/01/08,11,Sargassum pteropleuron,0
02/01/08,11,Thalassia,0
02/01/08,11,Udotea,0
02/01/08,12,Acetabularia,0
02/01/08,12,Batophora,0.8
02/01/08,12,Caulerpa prolifera,0
02/01/08,12,Chara,79.66666666666667
02/01/08,12,Chondria baileyana,0
02/01/08,12,Digenia,0
02/01/08,12,Halimeda incrassata,0
02/01/08,12,Halodule,0.4
02/01/08,12,Hypnea,0
02/01/08,12,Laurencia spp.,0
02/01/08,12,Penicillus,0
02/01/08,12,Polysiphonia,0
02/01/08,12,Rhizophora mangle,0
02/01/08,12,Ruppia,0
02/01/08,12,Sargassum pteropleuron,0
02/01/08,12,Thalassia,0
02/01/08,12,Udotea,0
02/01/08,13,Acetabularia,0
02/01/08,13,Batophora,9.666666666666666
02/01/08,13,Caulerpa prolifera,0
02/01/08,13,Chara,77.66666666666667
02/01/08,13,Chondria baileyana,0
02/01/08,13,Digenia,0
02/01/08,13,Halimeda incrassata,0
02/01/08,13,Halodule,0.4
02/01/08,13,Hypnea,0
02/01/08,13,Laurencia spp.,0
02/01/08,13,Penicillus,0
02/01/08,13,Polysiphonia,0
02/01/08,13,Rhizophora mangle,0
02/01/08,13,Ruppia,0
02/01/08,13,Sargassum pteropleuron,0
02/01/08,13,Thalassia,0
02/01/08,13,Udotea,0
02/01/08,14,Acetabularia,0
02/01/08,14,Batophora,0
02/01/08,14,Caulerpa prolifera,0
02/01/08,14,Chara,0
02/01/08,14,Chondria baileyana,0
02/01/08,14,Digenia,0
02/01/08,14,Halimeda incrassata,0
02/01/08,14,Halodule,8.2
02/01/08,14,Hypnea,0
02/01/08,14,Laurencia spp.,0
02/01/08,14,Penicillus,0
02/01/08,14,Polysiphonia,0
02/01/08,14,Rhizophora mangle,0
02/01/08,14,Ruppia,0
02/01/08,14,Sargassum pteropleuron,0
02/01/08,14,Thalassia,0
02/01/08,14,Udotea,0
02/01/08,15,Acetabularia,0.2
02/01/08,15,Batophora,77.66666666666667
02/01/08,15,Caulerpa prolifera,0
02/01/08,15,Chara,0
02/01/08,15,Chondria baileyana,0
02/01/08,15,Digenia,0
02/01/08,15,Halimeda incrassata,0
02/01/08,15,Halodule,18.666666666666668
02/01/08,15,Hypnea,0
02/01/08,15,Laurencia spp.,0
02/01/08,15,Penicillus,0
02/01/08,15,Polysiphonia,0
02/01/08,15,Rhizophora mangle,0
02/01/08,15,Ruppia,0
02/01/08,15,Sargassum pteropleuron,0
02/01/08,15,Thalassia,0
02/01/08,15,Udotea,0
02/01/08,16,Acetabularia,0
02/01/08,16,Batophora,5.066666666666666
02/01/08,16,Caulerpa prolifera,0
02/01/08,16,Chara,0
02/01/08,16,Chondria baileyana,0
02/01/08,16,Digenia,0
02/01/08,16,Halimeda incrassata,0
02/01/08,16,Halodule,19.333333333333332
02/01/08,16,Hypnea,0
02/01/08,16,Laurencia spp.,0
02/01/08,16,Penicillus,0.4
02/01/08,16,Polysiphonia,0
02/01/08,16,Rhizophora mangle,0
02/01/08,16,Ruppia,0
02/01/08,16,Sargassum pteropleuron,0
02/01/08,16,Thalassia,0
02/01/08,16,Udotea,0
02/01/08,17,Acetabularia,0
02/01/08,17,Batophora,0
02/01/08,17,Caulerpa prolifera,0
02/01/08,17,Chara,0
02/01/08,17,Chondria baileyana,0
02/01/08,17,Digenia,0
02/01/08,17,Halimeda incrassata,0
02/01/08,17,Halodule,19.866666666666667
02/01/08,17,Hypnea,0
02/01/08,17,Laurencia spp.,0
02/01/08,17,Penicillus,0
02/01/08,17,Polysiphonia,0
02/01/08,17,Rhizophora mangle,0
02/01/08,17,Ruppia,0
02/01/08,17,Sargassum pteropleuron,0
02/01/08,17,Thalassia,0
02/01/08,17,Udotea,0
02/01/08,18,Acetabularia,0.2
02/01/08,18,Batophora,7.333333333333333
02/01/08,18,Caulerpa prolifera,0
02/01/08,18,Chara,0
02/01/08,18,Chondria baileyana,0
02/01/08,18,Digenia,0
02/01/08,18,Halimeda incrassata,0
02/01/08,18,Halodule,30.333333333333332
02/01/08,18,Hypnea,0
02/01/08,18,Laurencia spp.,0
02/01/08,18,Penicillus,0.7333333333333333
02/01/08,18,Polysiphonia,0
02/01/08,18,Rhizophora mangle,0
02/01/08,18,Ruppia,0
02/01/08,18,Sargassum pteropleuron,0
02/01/08,18,Thalassia,0
02/01/08,18,Udotea,0
02/01/08,19,Acetabularia,0
02/01/08,19,Batophora,0
02/01/08,19,Caulerpa prolifera,0
02/01/08,19,Chara,0
02/01/08,19,Chondria baileyana,0
02/01/08,19,Digenia,0
02/01/08,19,Halimeda incrassata,0
02/01/08,19,Halodule,18
02/01/08,19,Hypnea,0
02/01/08,19,Laurencia spp.,0
02/01/08,19,Penicillus,0
02/01/08,19,Polysiphonia,0
02/01/08,19,Rhizophora mangle,0
02/01/08,19,Ruppia,0
02/01/08,19,Sargassum pteropleuron,0
02/01/08,19,Thalassia,0
02/01/08,19,Udotea,0
02/01/08,2,Acetabularia,0
02/01/08,2,Batophora,6.866666666666666
02/01/08,2,Caulerpa prolifera,0
02/01/08,2,Chara,0.2
02/01/08,2,Chondria baileyana,0
02/01/08,2,Digenia,0
02/01/08,2,Halimeda incrassata,0
02/01/08,2,Halodule,0
02/01/08,2,Hypnea,0
02/01/08,2,Laurencia spp.,0
02/01/08,2,Penicillus,0
02/01/08,2,Polysiphonia,0
02/01/08,2,Rhizophora mangle,0
02/01/08,2,Ruppia,1.6
02/01/08,2,Sargassum pteropleuron,0
02/01/08,2,Thalassia,0
02/01/08,2,Udotea,0
02/01/08,20,Acetabularia,0
02/01/08,20,Batophora,0
02/01/08,20,Caulerpa prolifera,0
02/01/08,20,Chara,0
02/01/08,20,Chondria baileyana,0
02/01/08,20,Digenia,0
02/01/08,20,Halimeda incrassata,0
02/01/08,20,Halodule,17
02/01/08,20,Hypnea,0
02/01/08,20,Laurencia spp.,0
02/01/08,20,Penicillus,0
02/01/08,20,Polysiphonia,0
02/01/08,20,Rhizophora mangle,0
02/01/08,20,Ruppia,0
02/01/08,20,Sargassum pteropleuron,0
02/01/08,20,Thalassia,0
02/01/08,20,Udotea,0
02/01/08,21,Acetabularia,0
02/01/08,21,Batophora,0
02/01/08,21,Caulerpa prolifera,0
02/01/08,21,Chara,0
02/01/08,21,Chondria baileyana,0
02/01/08,21,Digenia,0
02/01/08,21,Halimeda incrassata,0
02/01/08,21,Halodule,13.533333333333333
02/01/08,21,Hypnea,0
02/01/08,21,Laurencia spp.,0
02/01/08,21,Penicillus,0.2
02/01/08,21,Polysiphonia,0
02/01/08,21,Rhizophora mangle,0
02/01/08,21,Ruppia,0
02/01/08,21,Sargassum pteropleuron,0
02/01/08,21,Thalassia,0.2
02/01/08,21,Udotea,0
02/01/08,3,Acetabularia,0
02/01/08,3,Batophora,0
02/01/08,3,Caulerpa prolifera,0
02/01/08,3,Chara,0.8
02/01/08,3,Chondria baileyana,0
02/01/08,3,Digenia,0
02/01/08,3,Halimeda incrassata,0
02/01/08,3,Halodule,0
02/01/08,3,Hypnea,0
02/01/08,3,Laurencia spp.,0
02/01/08,3,Penicillus,0
02/01/08,3,Polysiphonia,0
02/01/08,3,Rhizophora mangle,0
02/01/08,3,Ruppia,1.7333333333333334
02/01/08,3,Sargassum pteropleuron,0
02/01/08,3,Thalassia,0
02/01/08,3,Udotea,0
02/01/08,4,Acetabularia,0
02/01/08,4,Batophora,0.4
02/01/08,4,Caulerpa prolifera,0
02/01/08,4,Chara,1
02/01/08,4,Chondria baileyana,0
02/01/08,4,Digenia,0
02/01/08,4,Halimeda incrassata,0
02/01/08,4,Halodule,0
02/01/08,4,Hypnea,0
02/01/08,4,Laurencia spp.,0
02/01/08,4,Penicillus,0
02/01/08,4,Polysiphonia,0
02/01/08,4,Rhizophora mangle,0
02/01/08,4,Ruppia,2.8
02/01/08,4,Sargassum pteropleuron,0
02/01/08,4,Thalassia,0
02/01/08,4,Udotea,0
02/01/08,5,Acetabularia,0
02/01/08,5,Batophora,0
02/01/08,5,Caulerpa prolifera,0
02/01/08,5,Chara,100
02/01/08,5,Chondria baileyana,0
02/01/08,5,Digenia,0
02/01/08,5,Halimeda incrassata,0
02/01/08,5,Halodule,0
02/01/08,5,Hypnea,0
02/01/08,5,Laurencia spp.,0
02/01/08,5,Penicillus,0
02/01/08,5,Polysiphonia,0
02/01/08,5,Rhizophora mangle,0
02/01/08,5,Ruppia,0
02/01/08,5,Sargassum pteropleuron,0
02/01/08,5,Thalassia,0
02/01/08,5,Udotea,0
02/01/08,6,Acetabularia,0
02/01/08,6,Batophora,0
02/01/08,6,Caulerpa prolifera,0
02/01/08,6,Chara,1
02/01/08,6,Chondria baileyana,0
02/01/08,6,Digenia,0
02/01/08,6,Halimeda incrassata,0
02/01/08,6,Halodule,0
02/01/08,6,Hypnea,0
02/01/08,6,Laurencia spp.,0
02/01/08,6,Penicillus,0
02/01/08,6,Polysiphonia,0
02/01/08,6,Rhizophora mangle,0
02/01/08,6,Ruppia,2.8
02/01/08,6,Sargassum pteropleuron,0
02/01/08,6,Thalassia,0
02/01/08,6,Udotea,0
02/01/08,7,Acetabularia,0
02/01/08,7,Batophora,3
02/01/08,7,Caulerpa prolifera,0
02/01/08,7,Chara,100
02/01/08,7,Chondria baileyana,0
02/01/08,7,Digenia,0
02/01/08,7,Halimeda incrassata,0
02/01/08,7,Halodule,0
02/01/08,7,Hypnea,0
02/01/08,7,Laurencia spp.,0
02/01/08,7,Penicillus,0
02/01/08,7,Polysiphonia,0
02/01/08,7,Rhizophora mangle,0
02/01/08,7,Ruppia,0
02/01/08,7,Sargassum pteropleuron,0
02/01/08,7,Thalassia,0
02/01/08,7,Udotea,0
02/01/08,8,Acetabularia,0
02/01/08,8,Batophora,0
02/01/08,8,Caulerpa prolifera,0
02/01/08,8,Chara,95.33333333333333
02/01/08,8,Chondria baileyana,0
02/01/08,8,Digenia,0
02/01/08,8,Halimeda incrassata,0
02/01/08,8,Halodule,0
02/01/08,8,Hypnea,0
02/01/08,8,Laurencia spp.,0
02/01/08,8,Penicillus,0
02/01/08,8,Polysiphonia,0
02/01/08,8,Rhizophora mangle,0
02/01/08,8,Ruppia,0
02/01/08,8,Sargassum pteropleuron,0
02/01/08,8,Thalassia,0
02/01/08,8,Udotea,0
02/01/08,9,Acetabularia,0
02/01/08,9,Batophora,0
02/01/08,9,Caulerpa prolifera,0
02/01/08,9,Chara,87.66666666666667
02/01/08,9,Chondria baileyana,0
02/01/08,9,Digenia,0
02/01/08,9,Halimeda incrassata,0
02/01/08,9,Halodule,0
02/01/08,9,Hypnea,0
02/01/08,9,Laurencia spp.,0
02/01/08,9,Penicillus,0
02/01/08,9,Polysiphonia,0
02/01/08,9,Rhizophora mangle,0
02/01/08,9,Ruppia,0
02/01/08,9,Sargassum pteropleuron,0
02/01/08,9,Thalassia,0
02/01/08,9,Udotea,0
02/02/10,36,Acetabularia,0
02/02/10,36,Batophora,0
02/02/10,36,Caulerpa prolifera,0
02/02/10,36,Chara,0
02/02/10,36,Chondria baileyana,0
02/02/10,36,Digenia,0
02/02/10,36,Halimeda incrassata,0
02/02/10,36,Halodule,3.066666666666667
02/02/10,36,Hypnea,0
02/02/10,36,Laurencia spp.,0
02/02/10,36,Penicillus,0
02/02/10,36,Polysiphonia,NA
02/02/10,36,Rhizophora mangle,0
02/02/10,36,Ruppia,0
02/02/10,36,Sargassum pteropleuron,0
02/02/10,36,Thalassia,0
02/02/10,36,Udotea,0
02/02/10,37,Acetabularia,0
02/02/10,37,Batophora,0
02/02/10,37,Caulerpa prolifera,0
02/02/10,37,Chara,0
02/02/10,37,Chondria baileyana,0
02/02/10,37,Digenia,0
02/02/10,37,Halimeda incrassata,0
02/02/10,37,Halodule,16.333333333333332
02/02/10,37,Hypnea,0
02/02/10,37,Laurencia spp.,0
02/02/10,37,Penicillus,0
02/02/10,37,Polysiphonia,NA
02/02/10,37,Rhizophora mangle,0
02/02/10,37,Ruppia,0
02/02/10,37,Sargassum pteropleuron,0
02/02/10,37,Thalassia,0
02/02/10,37,Udotea,0
02/02/10,38,Acetabularia,0
02/02/10,38,Batophora,0
02/02/10,38,Caulerpa prolifera,0
02/02/10,38,Chara,0
02/02/10,38,Chondria baileyana,0
02/02/10,38,Digenia,0
02/02/10,38,Halimeda incrassata,0
02/02/10,38,Halodule,1.2
02/02/10,38,Hypnea,0
02/02/10,38,Laurencia spp.,0
02/02/10,38,Penicillus,0
02/02/10,38,Polysiphonia,NA
02/02/10,38,Rhizophora mangle,0
02/02/10,38,Ruppia,0.4
02/02/10,38,Sargassum pteropleuron,0
02/02/10,38,Thalassia,0
02/02/10,38,Udotea,0
02/02/10,39,Acetabularia,0
02/02/10,39,Batophora,0.2
02/02/10,39,Caulerpa prolifera,0
02/02/10,39,Chara,4.666666666666667
02/02/10,39,Chondria baileyana,0
02/02/10,39,Digenia,0
02/02/10,39,Halimeda incrassata,0
02/02/10,39,Halodule,1
