Site,Date,Year,Season,Time,Temp.,Sal.,Depth (cm),Turb. (NTU),CDOM,chla,TOTN,TOTP,NP,Acetabularia,Batophora,Caulerpa prolifera,Chara,Chondria baileyana,Digenia,Halimeda incrassata,Halodule,Hypnea,Laurencia spp.,Penicillus,Polysiphonia,Rhizophora mangle,Ruppia,Sargassum pteropleuron,Thalassia,Udotea,Lake,Position,System,pos,pos_rev,previous sites,lat,lon,SAV,Nutrients
38,2006-04-26,2006,Dry,1410,31,50,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Garfield Bight,Bay,ACS,1,4,"DM, GB-5",25.1769,80.7963,Yes,No
29,2006-04-26,2006,Dry,1155,30,45,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Lake,Middle,ACS,3,2,"R&F, WL-10",25.19716667,80.79798333,Yes,Yes
30,2006-04-26,2006,Dry,1210,30,49,80,NA,NA,NA,97.17,3.12,31.14423076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Lake,Middle,ACS,3,2,"R&F, WL-12",25.19516667,80.78693333,Yes,Yes
28,2006-04-26,2006,Dry,NA,NA,NA,NA,NA,NA,NA,74.48,4.95,15.046464646464647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-13",25.20666667,80.8475,Yes,Yes
40,2006-04-26,2006,Dry,NA,NA,NA,NA,NA,NA,NA,82.5,1.21,68.18181818181819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Garfield Bight,Bay,ACS,1,4,"DM, GB-9",25.17083333,80.80333333,Yes,Yes
1,2006-05-25,2006,Dry,1240,29,28,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seven Palm,Upstream,MCS,4,1,"DM, 7P-1",25.198,80.73333333,Yes,No
2,2006-05-25,2006,Dry,1220,30,28,145,NA,NA,NA,76.94,1.37,56.160583941605836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seven Palm,Upstream,MCS,4,1,"DM, 7P-2",25.19333333,80.72583333,Yes,Yes
3,2006-05-25,2006,Dry,1130,29,29,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seven Palm,Upstream,MCS,4,1,"DM, 7P-3",25.18416667,80.72116667,Yes,No
13,2006-05-25,2006,Dry,1440,29,46,130,NA,NA,NA,80.64,1.11,72.64864864864865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monroe Lake,Downstream,MCS,2,3,"DM, ML-4",25.17816667,80.74466667,Yes,Yes
4,2006-05-25,2006,Dry,1320,29,29,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seven Palm,Upstream,MCS,4,1,"DM, 7P-4, 4",25.197,80.74666667,Yes,Yes
5,2006-05-25,2006,Dry,1200,29,29,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seven Palm,Upstream,MCS,4,1,"DM, 7P-5, 5",25.19136667,80.71593333,Yes,Yes
6,2006-05-25,2006,Dry,1255,29,29,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seven Palm,Upstream,MCS,4,1,"DM, 7P-6",25.20416667,80.73883333,Yes,No
7,2006-05-25,2006,Dry,1030,29,31,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seven Palm,Upstream,MCS,4,1,"DM, 7P-7",25.17333333,80.72033333,Yes,Yes
17,2006-05-25,2006,Dry,1500,29,48,90,NA,NA,NA,66.84,0.57,117.26315789473686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"DM, TB-4",25.16216667,80.7265,Yes,Yes
8,2006-05-25,2006,Dry,1345,29,37,125,NA,NA,NA,79.92,1.35,59.199999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middle Lake,Middle,MCS,3,2,"R&F, 7P-9",25.17583333,80.72733333,Yes,Yes
9,2006-05-25,2006,Dry,1410,29,36,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middle Lake,Middle,MCS,3,2,"R&F, 7P-10, 9",25.18383333,80.73366667,Yes,Yes
1,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seven Palm,Upstream,MCS,4,1,"DM, 7P-1",25.198,80.73333333,Yes,No
2,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seven Palm,Upstream,MCS,4,1,"DM, 7P-2",25.19333333,80.72583333,Yes,Yes
3,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seven Palm,Upstream,MCS,4,1,"DM, 7P-3",25.18416667,80.72116667,Yes,No
4,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3333333333333333,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Seven Palm,Upstream,MCS,4,1,"DM, 7P-4, 4",25.197,80.74666667,Yes,Yes
5,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,99.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,Seven Palm,Upstream,MCS,4,1,"DM, 7P-5, 5",25.19136667,80.71593333,Yes,Yes
6,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,Seven Palm,Upstream,MCS,4,1,"DM, 7P-6",25.20416667,80.73883333,Yes,No
7,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,Seven Palm,Upstream,MCS,4,1,"DM, 7P-7",25.17333333,80.72033333,Yes,Yes
8,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,80.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,Middle Lake,Middle,MCS,3,2,"R&F, 7P-9",25.17583333,80.72733333,Yes,Yes
9,2006-05-25,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,84.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,Middle Lake,Middle,MCS,3,2,"R&F, 7P-10, 9",25.18383333,80.73366667,Yes,Yes
22,2006-05-29,2006,Dry,1120,31,26,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-1",25.21333333,80.84916667,Yes,No
23,2006-05-29,2006,Dry,1200,32,23,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-3",25.20266667,80.85025,Yes,No
24,2006-05-29,2006,Dry,1225,30,23,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-4, 24",25.20225,80.84338333,Yes,Yes
25,2006-05-29,2006,Dry,1340,32,22,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-7, 25",25.20166667,80.80966667,Yes,No
26,2006-05-29,2006,Dry,1410,31,23,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-8",25.20083333,80.8,Yes,No
27,2006-05-29,2006,Dry,1445,31,22,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-11",25.2065,80.80633333,Yes,Yes
28,2006-05-29,2006,Dry,1255,32,21,130,NA,NA,NA,110.86,3.32,33.39156626506024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Lake,Upstream,ACS,4,1,"DM, WL-13",25.20666667,80.8475,Yes,Yes
22,2006-05-29,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.4,0,0,0,0,0,0,0,0,0,26.6,0,0,0,West Lake,Upstream,ACS,4,1,"DM, WL-1",25.21333333,80.84916667,Yes,No
23,2006-05-29,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,West Lake,Upstream,ACS,4,1,"DM, WL-3",25.20266667,80.85025,Yes,No
24,2006-05-29,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.4666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,West Lake,Upstream,ACS,4,1,"DM, WL-4, 24",25.20225,80.84338333,Yes,Yes
25,2006-05-29,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Lake,Upstream,ACS,4,1,"DM, WL-7, 25",25.20166667,80.80966667,Yes,No
26,2006-05-29,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,West Lake,Upstream,ACS,4,1,"DM, WL-8",25.20083333,80.8,Yes,No
27,2006-05-29,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Lake,Upstream,ACS,4,1,"DM, WL-11",25.2065,80.80633333,Yes,Yes
28,2006-05-29,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,West Lake,Upstream,ACS,4,1,"DM, WL-13",25.20666667,80.8475,Yes,Yes
31,2006-05-31,2006,Dry,1240,30,50,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Lake,Middle,ACS,3,2,"R&F, WL-13, 31",25.18866667,80.77973333,Yes,Yes
32,2006-05-31,2006,Dry,1345,31,51,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Lungs,Downstream,ACS,2,3,"DM, Lungs-1",25.1775,80.77216667,Yes,No
33,2006-05-31,2006,Dry,1410,32,53,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Lungs,Downstream,ACS,2,3,"DM, Lungs-6",25.17451667,80.7685,Yes,No
34,2006-05-31,2006,Dry,1445,31,53,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Lungs,Downstream,ACS,2,3,"DM, Lungs-5, 34",25.17283333,80.76083333,Yes,Yes
35,2006-05-31,2006,Dry,1515,32,52,75,NA,NA,NA,95.69,1.83,52.28961748633879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Lungs,Downstream,ACS,2,3,"DM, Lungs-8",25.17181667,80.77091667,Yes,Yes
29,2006-05-31,2006,Dry,1155,31,51,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Lake,Middle,ACS,3,2,"R&F, WL-10",25.19716667,80.79798333,Yes,Yes
30,2006-05-31,2006,Dry,1220,31,51,90,NA,NA,NA,94.01,2.12,44.344339622641506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Lake,Middle,ACS,3,2,"R&F, WL-12",25.19516667,80.78693333,Yes,Yes
29,2006-05-31,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,Long Lake,Middle,ACS,3,2,"R&F, WL-10",25.19716667,80.79798333,Yes,Yes
30,2006-05-31,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.933333333333334,0,0,0,Long Lake,Middle,ACS,3,2,"R&F, WL-12",25.19516667,80.78693333,Yes,Yes
31,2006-05-31,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,Long Lake,Middle,ACS,3,2,"R&F, WL-13, 31",25.18866667,80.77973333,Yes,Yes
32,2006-05-31,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Lungs,Downstream,ACS,2,3,"DM, Lungs-1",25.1775,80.77216667,Yes,No
33,2006-05-31,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,The Lungs,Downstream,ACS,2,3,"DM, Lungs-6",25.17451667,80.7685,Yes,No
34,2006-05-31,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,91.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,The Lungs,Downstream,ACS,2,3,"DM, Lungs-5, 34",25.17283333,80.76083333,Yes,Yes
35,2006-05-31,2006,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,The Lungs,Downstream,ACS,2,3,"DM, Lungs-8",25.17181667,80.77091667,Yes,Yes
11,2006-06-02,2006,Dry,1045,30,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monroe Lake,Downstream,MCS,2,3,"DM, ML-2; R&F, S-14",25.18371667,80.75315,Yes,No
21,2006-06-02,2006,Dry,1625,31,45,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"R&F, 7P-21",25.14025,80.72043333,Yes,Yes
12,2006-06-02,2006,Dry,1152,30,40,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monroe Lake,Downstream,MCS,2,3,"DM, ML-3, 12",25.17083333,80.74121667,Yes,Yes
13,2006-06-02,2006,Dry,1130,30,41,110,NA,NA,NA,76.73,1.56,49.18589743589744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monroe Lake,Downstream,MCS,2,3,"DM, ML-4",25.17816667,80.74466667,Yes,Yes
14,2006-06-02,2006,Dry,1255,30,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"DM, TB-1",25.16636667,80.73033333,Yes,No
15,2006-06-02,2006,Dry,1454,32,46,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"DM, TB-2",25.15583333,80.73878333,Yes,Yes
16,2006-06-02,2006,Dry,1400,31,46,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"DM, TB-3",25.15416667,80.73033333,Yes,No
17,2006-06-02,2006,Dry,1325,31,42,65,NA,NA,NA,66.62,0.85,78.3764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"DM, TB-4",25.16216667,80.7265,Yes,Yes
18,2006-06-02,2006,Dry,1423,31,45,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"DM, TB-5",25.15833333,80.73366667,Yes,No
19,2006-06-02,2006,Dry,1534,33,45,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"DM, TB-7",25.15033333,80.7225,Yes,Yes
20,2006-06-02,2006,Dry,1600,33,46,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrapin Bay,Bay,MCS,1,4,"R&F, 7P-20",25.15145,80.71673333,Yes,No
10,2006-06-02,2006,Dry,1215,31,41,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monroe Lake,Downstream,MCS,2,3,"DM, ML-1",25.17166667,80.735,Yes,No
